'DAY  D A J
'DI  D I
'DI'  D I Q
'EKA  Q E K A
'EKA'  Q E K A Q
'IKA  Q I K A
'IKA'  Q I K A Q
'KA  K A
'KA'  K A Q
'NG  N A NG
'NO  N O
'NO'  N O Q
'T  T
'TSAKA  TS A K A
'TSAKA'  TS A K A Q
'Y  J
'YAN  J A N
'YO  J O
'YO'  J O Q
AAABAN  Q A Q A Q A B A N
AAB  Q A Q A B
AABAN  Q A Q A B A N
AABISUHAN  Q A Q A B I S U HH A N
AAK  Q A Q A K
AAKYAT  Q A Q A K J A T
AAMYENDAHAN  Q A Q A M J E N D A HH A N
AAP  Q A Q A P
AARAWAN  Q A Q A DX A W A N
AAWAT  Q A Q A W A T
ABA  Q A B A
ABA'  Q A B A Q
ABAD  Q A B A D
ABADESA  Q A B A D E S A
ABADESA'  Q A B A D E S A Q
ABADIANO  Q A B A DY A N O
ABADIANO'  Q A B A DY A N O Q
ABADILLA  Q A B A D I L J A
ABADILLA'  Q A B A D I L J A Q
ABADIYA  Q A B A D I J A
ABADIYA'  Q A B A D I J A Q
ABADYA  Q A B A DY A
ABADYA'  Q A B A DY A Q
ABADYATO  Q A B A DY A T O
ABADYATO'  Q A B A DY A T O Q
ABAHIN  Q A B A HH I N
ABAIN  Q A B A Q I N
ABAKA  Q A B A K A
ABAKA'  Q A B A K A Q
ABAKADA  Q A B A K A D A
ABAKADA'  Q A B A K A D A Q
ABAKUS  Q A B A K U S
ABALA  Q A B A L A
ABALA'  Q A B A L A Q
ABALAHIN  Q A B A L A HH I N
ABALORYO  Q A B A L O DX J O
ABALORYO'  Q A B A L O DX J O Q
ABALOS  Q A B A L O S
ABANDERADA  Q A B A N D E DX A D A
ABANDERADA'  Q A B A N D E DX A D A Q
ABANDERADO  Q A B A N D E DX A D O
ABANDERADO'  Q A B A N D E DX A D O Q
ABANDONA  Q A B A N D O N A
ABANDONA'  Q A B A N D O N A Q
ABANDONADA  Q A B A N D O N A D A
ABANDONADA'  Q A B A N D O N A D A Q
ABANDONADO  Q A B A N D O N A D O
ABANDONADO'  Q A B A N D O N A D O Q
ABANG  Q A B A NG
ABANGAN  Q A B A NG A N
ABANIKO  Q A B A N I K O
ABANIKO'  Q A B A N I K O Q
ABANSE  Q A B A N S E
ABANSE'  Q A B A N S E Q
ABARCA  Q A B A DX K A
ABARCA'  Q A B A DX K A Q
ABARKA  Q A B A DX K A
ABARKA'  Q A B A DX K A Q
ABARKADOR  Q A B A DX K A D O DX
ABASERIYA  Q A B A S E DX I J A
ABASERIYA'  Q A B A S E DX I J A Q
ABASERO  Q A B A S E DX O
ABASERO'  Q A B A S E DX O Q
ABASTESEDOR  Q A B A S T E S E D O DX
ABASTO  Q A B A S T O
ABASTO'  Q A B A S T O Q
ABAT  Q A B A T
ABATAN  Q A B A T A N
ABAYA  Q A B A J A
ABAYA'  Q A B A J A Q
ABAYAN  Q A B A J A N
ABBY  Q A B B J
ABDIKA  Q A B D I K A
ABDIKA'  Q A B D I K A Q
ABDIKASYON  Q A B D I K A SY O N
ABDURAHMAN  Q A B D U DX A HH M A N
ABE  Q A B E
ABE'  Q A B E Q
ABECE  Q A B E K E
ABECE'  Q A B E K E Q
ABEHA  Q A B E HH A
ABEHA'  Q A B E HH A Q
ABEHERA  Q A B E HH E DX A
ABEHERA'  Q A B E HH E DX A Q
ABEHERO  Q A B E HH E DX O
ABEHERO'  Q A B E HH E DX O Q
ABEJUELA  Q A B E J U E L A
ABEJUELA'  Q A B E J U E L A Q
ABELGAS  Q A B E L G A S
ABELLA  Q A B E L J A
ABELLA'  Q A B E L J A Q
ABELLANO  Q A B E L J A N O
ABELLANO'  Q A B E L J A N O Q
ABELLERA  Q A B E L J E DX A
ABELLERA'  Q A B E L J E DX A Q
ABELYANA  Q A B E L J A N A
ABELYANA'  Q A B E L J A N A Q
ABELYANO  Q A B E L J A N O
ABELYANO'  Q A B E L J A N O Q
ABENIDA  Q A B E N I D A
ABENIDA'  Q A B E N I D A Q
ABENOJAR  Q A B E N O J A DX
ABENTURA  Q A B E N T U DX A
ABENTURA'  Q A B E N T U DX A Q
ABENTURERO  Q A B E N T U DX E DX O
ABENTURERO'  Q A B E N T U DX E DX O Q
ABER  Q A B E DX
ABERYA  Q A B E DX J A
ABERYA'  Q A B E DX J A Q
ABESAMIS  Q A B E S A M I S
ABESE  Q A B E S E
ABESE'  Q A B E S E Q
ABESEDARYO  Q A B E S E D A DX J O
ABESEDARYO'  Q A B E S E D A DX J O Q
ABESTRUS  Q A B E S T DX U S
ABETO  Q A B E T O
ABETO'  Q A B E T O Q
ABIGAIL  Q A B I H A Q I L
ABILAW  Q A B I L A W
ABILIDAD  Q A B I L I D A D
ABILO  Q A B I L O
ABILO'  Q A B I L O Q
ABING  Q A B I NG
ABINTESTATO  Q A B I N T E S T A T O
ABINTESTATO'  Q A B I N T E S T A T O Q
ABISINYA  Q A B I S I N J A
ABISINYA'  Q A B I S I N J A Q
ABISINYO  Q A B I S I N J O
ABISINYO'  Q A B I S I N J O Q
ABISMAL  Q A B I S M A L
ABISMO  Q A B I S M O
ABISMO'  Q A B I S M O Q
ABISO  Q A B I S O
ABISO'  Q A B I S O Q
ABISUHAN  Q A B I S U HH A N
ABITO  Q A B I T O
ABITO'  Q A B I T O Q
ABITSUWELA  Q A B I TS U W E L A
ABITSUWELA'  Q A B I TS U W E L A Q
ABITSUWELAS  Q A B I TS U W E L A S
ABIYOHENESIS  Q A B I J O HH E N E S I S
ABIYOLOHIYA  Q A B I J O L O HH I J A
ABIYOLOHIYA'  Q A B I J O L O HH I J A Q
ABLA  Q A B L A
ABLA'  Q A B L A Q
ABLATIBO  Q A B L A T I B O
ABLATIBO'  Q A B L A T I B O Q
ABLEPSIYA  Q A B L E P S I J A
ABLEPSIYA'  Q A B L E P S I J A Q
ABLEPSYA  Q A B L E P SY A
ABLEPSYA'  Q A B L E P SY A Q
ABLOG  Q A B L O G
ABLUSYON  Q A B L U SY O N
ABNEGADA  Q A B N E H A D A
ABNEGADA'  Q A B N E H A D A Q
ABNEGADO  Q A B N E H A D O
ABNEGADO'  Q A B N E H A D O Q
ABNEGASYON  Q A B N E H A SY O N
ABNO  Q A B N O
ABNO'  Q A B N O Q
ABNORMALIDAD  Q A B N O DX M A L I D A D
ABNOY  Q A B N O J
ABOG  Q A B O G
ABOGADA  Q A B O H A D A
ABOGADA'  Q A B O H A D A Q
ABOGADILYO  Q A B O H A D I L J O
ABOGADILYO'  Q A B O H A D I L J O Q
ABOGADO  Q A B O H A D O
