;;; @article{yunetal2015,
;;; 	title={The Korean Corpus of Spontaneous Speech},
;;; 	author={Yun, W., Yoon, K., Park, S., Lee, J., Cho, S., Kang, D., Byun, K., Hahn, H., Kim, J.},
;;; 	journal={Journal of the Korean Society of Speech Sciences},
;;; 	volume={7(2)},
;;; 	pages={103–109},
;;; 	year={2015},
;;; 	publisher={}
;;; }
ㄱㅏ	a
ㄱㅏ	g a
ㄱㅏ	h a
ㄱㅏ	kk a
ㄱㅏㄱ	g a K
ㄱㅏㄱ	k a P
ㄱㅏㄱㄱㅏㄱ	d a kk a K
ㄱㅏㄱㄱㅏㄱ	g a K kk a K
ㄱㅏㄱㄱㅏㄱㅢ	g a K kk a g e
ㄱㅏㄱㄱㅏㄱㅣㄴ	g a kk a g i NG
ㄱㅏㄱㄱㅘㅇㅡㄹ	g a kk w a NG eu L
ㄱㅏㄱㄷㅗㄴㅡㄴ	g a K tt o n eu
ㄱㅏㄱㅂㅕㄹㅎㅐㅈㅣㄹ	g a K pp y eo r e j i L
ㄱㅏㄱㅅㅓ	g a K s eo
ㄱㅏㄱㅈㅏ	g a K jj a
ㄱㅏㄱㅈㅏ	g a jj a
ㄱㅏㄱㅈㅏㅢ	g a K jj a eu i
ㄱㅏㄱㅈㅏㅢ	g a jj e i
ㄱㅏㄱㅈㅗㅇ	g a K jj o NG
ㄱㅏㄱㅓ	g a g eo
ㄱㅏㄱㅓㄴ	g a g eo N
ㄱㅏㄱㅓㄴㅏ	a g eo n a
ㄱㅏㄱㅓㄴㅏ	eo g eo n a
ㄱㅏㄱㅓㄴㅏ	g a g eo n a
ㄱㅏㄱㅓㄷㅡㄴ	g a g eo d eu N
ㄱㅏㄱㅓㄷㅡㄴㅛ	g a g eo d eu N n y eo
ㄱㅏㄱㅓㄷㅡㄴㅛ	g a g eo d eu N y eo
ㄱㅏㄱㅓㄷㅡㄴㅛ	g a g eo d eu NG y eo
ㄱㅏㄱㅓㄷㅡㄴㅛ	g a g eo d eu n y eo
ㄱㅏㄱㅔ	g a g e
ㄱㅏㄱㅔ	kk a g e
ㄱㅏㄱㅔㄱㅏ	g a g e g a
ㄱㅏㄱㅔㄱㅏ	kk a g e g a
ㄱㅏㄱㅔㄲㅡㅁ	g a g e kk eu M
ㄱㅏㄱㅔㄴㅡㄴ	g a g e n eu NG
ㄱㅏㄱㅔㄷㅗ	g a g e d o
ㄱㅏㄱㅔㄷㅡㄹ	kk a g e d eu L
ㄱㅏㄱㅔㄷㅡㄹㅔㅅㅓ	g a g e d eu r e s eo
ㄱㅏㄱㅔㄷㅡㄹㅣ	g a g e d eu r i
ㄱㅏㄱㅔㄷㅡㄹㅣ	kk a g e d eu r i
ㄱㅏㄱㅔㄹㅏㄷㅡㄴㅈㅣ	kk a g e r a d eu N j i
ㄱㅏㄱㅔㄹㅡㄹ	g a g e r eu
ㄱㅏㄱㅔㄹㅡㄹ	g a g e r eu L
ㄱㅏㄱㅔㄹㅡㄹ	kk a g e r eu L
ㄱㅏㄱㅔㅁㅏㄴ	g a g e m a N
ㄱㅏㄱㅔㅂㅜㄹㅡㄹ	g a g e b u L
ㄱㅏㄱㅔㅆㄱㅜㄴㅏㄹㅏㄴ	g a g e kk u n a r a NG
ㄱㅏㄱㅔㅆㄷㅏ	a g e tt a
ㄱㅏㄱㅔㅆㄷㅏ	g a g e tt a
ㄱㅏㄱㅔㅆㄷㅏㄱㅗ	g a g e tt a eo
ㄱㅏㄱㅔㅆㄷㅏㄱㅗ	g a g e tt a g o
ㄱㅏㄱㅔㅆㄷㅏㄱㅗ	g a g e tt a g u
ㄱㅏㄱㅔㅆㄷㅏㄱㅗ	g a g e tt a o
ㄱㅏㄱㅔㅆㅈㅛ	g a g e jj o
ㄱㅏㄱㅔㅆㅈㅛ	g a g e jj y eo
ㄱㅏㄱㅔㅆㅈㅣ	g a g e jj i
ㄱㅏㄱㅔㅔ	g a g e e
ㄱㅏㄱㅔㅔㄴㅡㄴ	g a g e e n eu N
ㄱㅏㄱㅔㅔㅅㅓ	kk a g e e s eo
ㄱㅏㄱㅔㅔㅅㅓㄴㅡㄴ	g a g e e s eo n eu NG
ㄱㅏㄱㅕㄱ	g a g y eo K
ㄱㅏㄱㅕㄱㄷㅗ	g a g y eo K tt o
ㄱㅏㄱㅕㄱㄷㅗ	g a g y eo K tt u
ㄱㅏㄱㅕㄱㅔ	g a g y eo g e
ㄱㅏㄱㅕㄱㅔ	g a g y eo g i
ㄱㅏㄱㅕㄱㅡㄴ	g a g y eo eu N
ㄱㅏㄱㅕㄱㅡㄴ	g a g y eo g eu N
ㄱㅏㄱㅕㄱㅡㄴ	kk a g y eo g eu N
ㄱㅏㄱㅕㄱㅡㄹ	g a g y eo eu L
ㄱㅏㄱㅕㄱㅡㄹㅗ	g a g y eo g eu r u
ㄱㅏㄱㅕㄱㅣ	g a g y eo g i
ㄱㅏㄱㅕㄱㅣ	g a y eo i
ㄱㅏㄱㅕㄱㅣ	kk a g y eo g i
ㄱㅏㄱㅕㅡㄹㅗㄷㅗ	g a g y eo eu r u d u
ㄱㅏㄱㅖㅂㅜ	g a g e P
ㄱㅏㄱㅖㅂㅜ	g a g e b u
ㄱㅏㄱㅖㅂㅜㄴㅡㄴ	g a g e b u n eu N
ㄱㅏㄱㅖㅂㅜㄹㅡㄹ	g a g e b u r eu
ㄱㅏㄱㅖㅂㅜㄹㅡㄹ	g a g e b u r eu L
ㄱㅏㄱㅖㅂㅜㄹㅡㄹ	g a g y e b u r eu L
ㄱㅏㄱㅗ	a g u
ㄱㅏㄱㅗ	g a
ㄱㅏㄱㅗ	g a L g o
ㄱㅏㄱㅗ	g a g eu
ㄱㅏㄱㅗ	g a g o
ㄱㅏㄱㅗ	g a g u
ㄱㅏㄱㅗ	g a g y eo
ㄱㅏㄱㅗ	g a o
ㄱㅏㄱㅗ	g a u
